数据更新时间,01-04 15:01:52,,,,,,,,,,,
代码,名称,最新价,涨跌幅,涨跌额,买入,卖出,成交量,成交额,今开,昨收,最高,最低
sz000629,攀钢钒钛,3.29999995232,-0.100817470378,-0.370000123978,0.0,0.0,2011098.0,712045610.18,3.63000011444,3.67000007629,3.71000003815,3.29999995232
sh601118,海南橡胶,6.80000019073,-0.100529068492,-0.759999752045,6.80000019073,6.80999994278,409712.0,294855014.0,7.51000022888,7.55999994278,7.57999992371,6.80000019073
sz000616,海航投资,7.07000017166,-0.100508899292,-0.789999961853,0.0,0.0,312838.0,232911133.09,7.88000011444,7.86000013351,7.92000007629,7.07000017166
sh601101,昊华能源,7.07000017166,-0.100508899292,-0.789999961853,7.07000017166,7.07999992371,78157.0,58196173.0,7.86000013351,7.86000013351,7.86000013351,7.07000017166
sz000935,四川双马,7.15999984741,-0.100502536043,-0.800000190735,0.0,0.0,69252.0,52516117.26,7.90000009537,7.96000003815,7.98999977112,7.15999984741
sh601107,四川成渝,5.36999988556,-0.10050250012,-0.599999904633,0.0,5.36999988556,261902.0,145436664.0,5.94000005722,5.96999979019,5.94999980927,5.36999988556
sz300107,建新股份,7.25,-0.100496324745,-0.810000419617,0.0,0.0,189389.0,144122395.08,8.07999992371,8.06000041962,8.07999992371,7.25
sh600159,大龙地产,5.55000019073,-0.100486203872,-0.619999885559,5.55999994278,5.57999992371,176304.0,103453240.0,6.28999996185,6.17000007629,6.28999996185,5.55000019073
sz300082,奥克股份,7.42999982834,-0.100484307209,-0.830000400543,0.0,0.0,95775.0,74433248.24,8.26000022888,8.26000022888,8.26000022888,7.42999982834
sh600540,新赛股份,7.61000013351,-0.100472801513,-0.849999904633,7.63000011444,7.63999986649,100224.0,80685298.0,8.39999961853,8.46000003815,8.46000003815,7.61000013351
sh600784,鲁银投资,7.88000011444,-0.100456631444,-0.880000114441,0.0,7.88000011444,267004.0,221224852.0,8.75,8.76000022888,8.84000015259,7.88000011444
sh600533,栖霞建设,6.09000015259,-0.100443106389,-0.679999828339,0.0,6.09000015259,178502.0,114355358.0,6.76999998093,6.76999998093,6.76999998093,6.09000015259
sz002061,江山化工,8.32999992371,-0.100431995917,-0.930000305176,0.0,0.0,268065.0,231359999.17,9.19999980927,9.26000022888,9.19999980927,8.32999992371
sh600117,西宁特钢,6.26999998093,-0.100430391727,-0.699999809265,0.0,6.26999998093,237079.0,161902932.0,7.05000019073,6.96999979019,7.26999998093,6.26999998093
sz000868,安凯客车,8.60000038147,-0.100418409624,-0.960000038147,0.0,0.0,173892.0,156463389.41,9.52000045776,9.56000041962,9.56000041962,8.60000038147
sh600077,宋都股份,6.53999996185,-0.100412657633,-0.730000019073,0.0,6.53999996185,303485.0,205316958.0,7.11999988556,7.26999998093,7.26000022888,6.53999996185
sh600635,大众公用,8.86999988556,-0.100405659796,-0.989999771118,8.86999988556,8.88000011444,617054.0,574389695.0,9.81999969482,9.85999965668,9.90999984741,8.86999988556
sz000933,神火股份,4.48000001907,-0.100401606041,-0.5,0.0,0.0,521130.0,243831149.88,5.0,4.98000001907,5.03000020981,4.48000001907
sh600724,宁波富达,6.80999994278,-0.100396329148,-0.760000228882,0.0,6.80999994278,133875.0,94994157.0,7.57000017166,7.57000017166,7.57000017166,6.80999994278
sh600428,中远航运,9.22999954224,-0.100389928233,-1.03000068665,9.23999977112,9.25,381589.0,367928971.0,10.2399997711,10.2600002289,10.279999733,9.22999954224
sz000656,金科股份,4.75,-0.100378823627,-0.530000209808,0.0,0.0,982102.0,486322776.4,5.28000020981,5.28000020981,5.28000020981,4.75
